Training...
episode: 10700  return: -6.13   mean: -5.38  time: 8.87s
episode: 10800  return: -5.47   mean: -5.45  time: 8.87s
episode: 10900  return: -4.41   mean: -5.52  time: 8.94s
episode: 11000  return: -5.32   mean: -5.38  time: 8.91s
episode: 11100  return: -5.73   mean: -5.47  time: 8.91s
episode: 11200  return: -5.40   mean: -5.42  time: 9.01s
episode: 11300  return: -4.18   mean: -5.51  time: 9.32s
episode: 11400  return: -6.05   mean: -5.39  time: 9.47s
episode: 11500  return: -5.11   mean: -5.37  time: 9.44s
episode: 11600  return: -5.68   mean: -5.22  time: 9.49s
episode: 11700  return: -4.88   mean: -5.25  time: 9.17s
episode: 11800  return: -5.50   mean: -5.36  time: 9.05s
episode: 11900  return: -5.81   mean: -5.37  time: 9.00s
episode: 12000  return: -5.32   mean: -5.35  time: 9.00s
episode: 12100  return: -4.81   mean: -5.29  time: 9.11s
episode: 12200  return: -4.26   mean: -5.44  time: 9.06s
episode: 12300  return: -5.94   mean: -5.30  time: 9.15s
episode: 12400  return: -5.22   mean: -5.23  time: 9.13s
episode: 12500  return: -6.11   mean: -5.34  time: 9.11s
episode: 12600  return: -8.06   mean: -5.35  time: 9.18s
episode: 12700  return: -5.63   mean: -5.19  time: 9.17s
episode: 12800  return: -4.90   mean: -5.29  time: 9.14s
episode: 12900  return: -4.54   mean: -5.32  time: 9.08s
episode: 13000  return: -6.05   mean: -5.36  time: 9.07s
episode: 13100  return: -8.42   mean: -5.34  time: 9.22s
episode: 13200  return: -5.03   mean: -5.40  time: 9.15s
episode: 13300  return: -5.51   mean: -5.33  time: 9.14s
episode: 13400  return: -5.39   mean: -5.40  time: 9.84s
episode: 13500  return: -6.09   mean: -5.30  time: 9.68s
episode: 13600  return: -5.08   mean: -5.25  time: 9.74s
episode: 13700  return: -4.94   mean: -5.33  time: 9.94s
episode: 13800  return: -4.80   mean: -5.24  time: 10.34s
episode: 13900  return: -5.92   mean: -5.40  time: 10.20s
episode: 14000  return: -5.40   mean: -5.28  time: 10.02s
episode: 14100  return: -4.68   mean: -5.42  time: 9.87s
episode: 14200  return: -6.09   mean: -5.23  time: 10.72s
episode: 14300  return: -6.06   mean: -5.22  time: 11.05s
episode: 14400  return: -4.56   mean: -5.39  time: 11.05s
episode: 14500  return: -4.36   mean: -5.20  time: 11.04s
episode: 14600  return: -6.10   mean: -5.27  time: 11.09s
episode: 14700  return: -5.44   mean: -5.20  time: 10.43s
episode: 14800  return: -5.63   mean: -5.47  time: 9.26s
episode: 14900  return: -6.52   mean: -5.35  time: 9.16s
episode: 15000  return: -4.54   mean: -5.31  time: 9.30s
episode: 15100  return: -5.61   mean: -5.22  time: 9.71s
episode: 15200  return: -6.12   mean: -5.16  time: 9.61s
episode: 15300  return: -4.79   mean: -5.36  time: 9.62s
episode: 15400  return: -6.02   mean: -5.18  time: 9.74s
episode: 15500  return: -4.75   mean: -5.13  time: 9.65s
episode: 15600  return: -5.75   mean: -5.13  time: 9.73s
episode: 15700  return: -4.53   mean: -5.24  time: 9.70s
episode: 15800  return: -5.61   mean: -5.40  time: 9.75s
episode: 15900  return: -5.17   mean: -5.24  time: 9.63s
episode: 16000  return: -4.53   mean: -5.20  time: 9.70s
episode: 16100  return: -4.36   mean: -5.16  time: 9.74s
episode: 16200  return: -4.57   mean: -5.28  time: 9.76s
episode: 16300  return: -5.49   mean: -5.29  time: 9.73s
episode: 16400  return: -5.88   mean: -5.31  time: 9.75s
episode: 16500  return: -8.73   mean: -5.18  time: 9.67s
episode: 16600  return: -4.62   mean: -5.16  time: 9.74s
episode: 16700  return: -5.71   mean: -5.09  time: 9.75s
episode: 16800  return: -5.75   mean: -5.16  time: 9.71s
episode: 16900  return: -4.79   mean: -5.20  time: 9.72s
episode: 17000  return: -4.16   mean: -5.06  time: 9.65s
episode: 17100  return: -5.24   mean: -5.13  time: 9.66s
episode: 17200  return: -6.48   mean: -5.12  time: 10.08s
episode: 17300  return: -4.51   mean: -5.21  time: 9.83s
episode: 17400  return: -4.71   mean: -5.25  time: 9.82s
episode: 17500  return: -5.67   mean: -5.22  time: 9.86s
episode: 17600  return: -5.31   mean: -5.37  time: 9.81s
episode: 17700  return: -5.49   mean: -5.16  time: 9.72s
episode: 17800  return: -4.54   mean: -5.08  time: 9.70s
episode: 17900  return: -4.15   mean: -4.99  time: 10.53s
episode: 18000  return: -5.22   mean: -5.03  time: 10.94s
episode: 18100  return: -4.70   mean: -5.00  time: 11.07s
episode: 18200  return: -4.40   mean: -5.13  time: 11.06s
episode: 18300  return: -5.11   mean: -5.10  time: 10.99s
episode: 18400  return: -5.72   mean: -5.23  time: 11.04s
episode: 18500  return: -5.16   mean: -5.25  time: 11.04s
episode: 18600  return: -4.67   mean: -5.08  time: 11.04s
episode: 18700  return: -5.43   mean: -5.13  time: 11.14s
episode: 18800  return: -4.11   mean: -5.16  time: 11.00s
episode: 18900  return: -5.54   mean: -5.15  time: 10.38s
episode: 19000  return: -4.39   mean: -5.12  time: 9.79s
episode: 19100  return: -6.33   mean: -5.08  time: 10.05s
episode: 19200  return: -5.53   mean: -5.20  time: 10.49s
episode: 19300  return: -5.36   mean: -5.07  time: 10.05s
episode: 19400  return: -5.50   mean: -5.11  time: 9.69s
episode: 19500  return: -4.79   mean: -5.15  time: 9.81s
episode: 19600  return: -4.84   mean: -5.03  time: 9.70s
episode: 19700  return: -4.52   mean: -5.15  time: 9.66s
episode: 19800  return: -4.89   mean: -5.06  time: 9.62s
episode: 19900  return: -5.15   mean: -5.21  time: 9.78s
episode: 20000  return: -4.90   mean: -5.14  time: 9.92s
episode: 20100  return: -5.33   mean: -5.18  time: 9.84s
episode: 20200  return: -6.70   mean: -5.12  time: 9.80s
episode: 20300  return: -5.11   mean: -5.05  time: 9.75s
episode: 20400  return: -6.44   mean: -5.07  time: 9.68s
episode: 20500  return: -4.25   mean: -5.08  time: 9.78s
episode: 20600  return: -4.76   mean: -5.02  time: 9.73s
episode: 20700  return: -4.99   mean: -4.98  time: 9.74s
episode: 20800  return: -4.66   mean: -5.13  time: 9.72s
episode: 20900  return: -5.33   mean: -5.08  time: 9.74s
episode: 21000  return: -5.92   mean: -5.04  time: 9.77s
episode: 21100  return: -4.10   mean: -5.00  time: 9.71s
episode: 21200  return: -5.07   mean: -5.03  time: 9.72s
episode: 21300  return: -4.79   mean: -4.95  time: 9.65s
episode: 21400  return: -5.49   mean: -5.13  time: 9.75s
episode: 21500  return: -5.46   mean: -5.06  time: 9.83s
episode: 21600  return: -4.59   mean: -5.03  time: 9.70s
episode: 21700  return: -5.81   mean: -4.88  time: 9.78s
episode: 21800  return: -5.60   mean: -5.06  time: 9.66s
episode: 21900  return: -4.62   mean: -4.90  time: 9.75s
episode: 22000  return: -5.34   mean: -5.06  time: 9.67s
episode: 22100  return: -4.87   mean: -5.04  time: 9.61s
episode: 22200  return: -4.86   mean: -4.94  time: 9.54s
episode: 22300  return: -6.45   mean: -5.15  time: 9.56s
episode: 22400  return: -5.64   mean: -5.02  time: 9.46s
episode: 22500  return: -6.14   mean: -5.08  time: 9.42s
episode: 22600  return: -3.89   mean: -4.94  time: 9.58s
episode: 22700  return: -5.07   mean: -5.04  time: 9.58s
episode: 22800  return: -4.14   mean: -5.08  time: 9.56s
episode: 22900  return: -4.00   mean: -4.97  time: 9.51s
episode: 23000  return: -4.58   mean: -4.91  time: 9.59s
episode: 23100  return: -4.44   mean: -5.09  time: 9.60s
episode: 23200  return: -6.31   mean: -5.09  time: 9.51s
episode: 23300  return: -4.12   mean: -4.97  time: 9.54s
episode: 23400  return: -4.05   mean: -5.00  time: 9.55s
episode: 23500  return: -4.63   mean: -4.88  time: 9.51s
episode: 23600  return: -5.92   mean: -5.04  time: 9.58s
episode: 23700  return: -5.49   mean: -4.99  time: 9.61s
episode: 23800  return: -4.94   mean: -4.92  time: 9.45s
episode: 23900  return: -4.45   mean: -4.98  time: 9.59s
episode: 24000  return: -4.76   mean: -5.04  time: 9.55s
episode: 24100  return: -4.39   mean: -4.96  time: 9.47s
episode: 24200  return: -4.40   mean: -4.97  time: 9.54s
episode: 24300  return: -5.62   mean: -4.92  time: 9.47s
episode: 24400  return: -5.25   mean: -4.90  time: 9.66s
episode: 24500  return: -4.78   mean: -5.01  time: 9.78s
episode: 24600  return: -5.08   mean: -4.92  time: 10.26s
episode: 24700  return: -5.62   mean: -4.97  time: 9.57s
episode: 24800  return: -5.26   mean: -5.00  time: 9.48s
episode: 24900  return: -4.86   mean: -4.92  time: 9.59s
episode: 25000  return: -5.62   mean: -4.99  time: 9.52s
episode: 25100  return: -4.54   mean: -5.07  time: 9.48s
episode: 25200  return: -5.72   mean: -4.90  time: 9.50s
episode: 25300  return: -4.56   mean: -4.90  time: 9.46s
episode: 25400  return: -5.08   mean: -5.01  time: 9.55s
episode: 25500  return: -5.70   mean: -5.09  time: 9.47s
episode: 25600  return: -5.51   mean: -4.76  time: 9.52s
episode: 25700  return: -5.79   mean: -5.06  time: 9.55s
episode: 25800  return: -4.64   mean: -4.83  time: 9.60s
episode: 25900  return: -5.58   mean: -4.94  time: 9.47s
episode: 26000  return: -4.27   mean: -4.94  time: 9.83s
episode: 26100  return: -4.94   mean: -4.94  time: 10.28s
episode: 26200  return: -6.26   mean: -4.98  time: 11.23s
episode: 26300  return: -5.01   mean: -4.82  time: 11.14s
episode: 26400  return: -4.33   mean: -4.85  time: 11.16s
episode: 26500  return: -4.04   mean: -5.03  time: 11.13s
episode: 26600  return: -4.46   mean: -4.83  time: 11.06s
episode: 26700  return: -5.02   mean: -5.02  time: 11.13s
episode: 26800  return: -5.81   mean: -5.03  time: 11.01s
episode: 26900  return: -4.20   mean: -5.01  time: 11.09s
episode: 27000  return: -5.24   mean: -4.88  time: 11.07s
episode: 27100  return: -4.39   mean: -4.86  time: 11.04s
episode: 27200  return: -6.33   mean: -4.95  time: 11.12s
episode: 27300  return: -4.14   mean: -5.10  time: 11.09s
episode: 27400  return: -4.59   mean: -5.12  time: 11.12s
episode: 27500  return: -3.91   mean: -4.86  time: 10.98s
episode: 27600  return: -4.00   mean: -4.90  time: 11.08s
episode: 27700  return: -5.10   mean: -4.85  time: 11.13s
episode: 27800  return: -4.84   mean: -4.95  time: 11.03s
episode: 27900  return: -3.97   mean: -4.99  time: 11.01s
episode: 28000  return: -4.89   mean: -4.83  time: 11.08s
episode: 28100  return: -4.51   mean: -4.88  time: 11.07s
episode: 28200  return: -3.96   mean: -4.87  time: 9.86s
episode: 28300  return: -4.45   mean: -4.96  time: 9.82s
episode: 28400  return: -6.59   mean: -4.84  time: 10.75s
episode: 28500  return: -4.37   mean: -4.87  time: 11.10s
episode: 28600  return: -4.34   mean: -4.80  time: 11.11s
episode: 28700  return: -4.81   mean: -4.85  time: 11.00s
episode: 28800  return: -4.43   mean: -4.89  time: 10.94s
episode: 28900  return: -4.56   mean: -4.94  time: 11.09s
episode: 29000  return: -4.54   mean: -4.99  time: 11.13s
episode: 29100  return: -4.82   mean: -5.02  time: 11.00s
episode: 29200  return: -4.21   mean: -5.08  time: 10.93s
episode: 29300  return: -4.28   mean: -4.81  time: 11.16s
episode: 29400  return: -4.29   mean: -4.89  time: 11.26s
episode: 29500  return: -4.97   mean: -4.89  time: 11.20s
episode: 29600  return: -6.00   mean: -4.85  time: 11.01s
episode: 29700  return: -4.61   mean: -4.87  time: 10.92s
episode: 29800  return: -4.75   mean: -5.06  time: 10.79s
episode: 29900  return: -4.40   mean: -4.83  time: 10.35s
episode: 30000  return: -5.73   mean: -4.90  time: 10.89s
episode: 30100  return: -5.03   mean: -4.92  time: 9.90s
episode: 30200  return: -4.72   mean: -4.81  time: 9.85s
episode: 30300  return: -5.17   mean: -4.89  time: 9.85s
episode: 30400  return: -4.94   mean: -4.86  time: 9.81s
episode: 30500  return: -4.12   mean: -4.88  time: 9.70s
episode: 30600  return: -4.92   mean: -4.92  time: 9.75s
episode: 30700  return: -4.46   mean: -4.86  time: 9.76s
episode: 30800  return: -4.46   mean: -4.97  time: 9.84s
episode: 30900  return: -6.55   mean: -4.98  time: 10.78s
episode: 31000  return: -4.41   mean: -4.89  time: 11.09s
episode: 31100  return: -6.16   mean: -4.90  time: 11.12s
episode: 31200  return: -5.35   mean: -4.84  time: 11.09s
episode: 31300  return: -5.66   mean: -4.96  time: 11.09s
episode: 31400  return: -4.81   mean: -4.89  time: 11.07s
episode: 31500  return: -5.18   mean: -4.78  time: 11.03s
episode: 31600  return: -5.94   mean: -4.89  time: 11.14s
episode: 31700  return: -4.47   mean: -4.78  time: 11.04s
episode: 31800  return: -4.36   mean: -4.85  time: 11.06s
episode: 31900  return: -4.98   mean: -4.90  time: 10.43s
