Training...
episode: 100  return: -12.01   mean: -9.10  epsilon: 0.8869  time: 3.56s
episode: 200  return: -9.64   mean: -9.36  epsilon: 0.8737  time: 3.14s
episode: 300  return: -9.70   mean: -9.44  epsilon: 0.8608  time: 3.29s
episode: 400  return: -9.46   mean: -8.98  epsilon: 0.8480  time: 14.57s
episode: 500  return: -7.74   mean: -8.72  epsilon: 0.8353  time: 14.34s
episode: 600  return: -7.06   mean: -8.49  epsilon: 0.8228  time: 14.06s
episode: 700  return: -12.83   mean: -8.47  epsilon: 0.8105  time: 14.58s
episode: 800  return: -9.20   mean: -8.36  epsilon: 0.7983  time: 14.33s
episode: 900  return: -8.93   mean: -8.34  epsilon: 0.7862  time: 13.76s
episode: 1000  return: -6.39   mean: -8.03  epsilon: 0.7743  time: 14.43s
episode: 1100  return: -8.89   mean: -8.53  epsilon: 0.7625  time: 14.25s
episode: 1200  return: -8.18   mean: -7.95  epsilon: 0.7509  time: 14.50s
episode: 1300  return: -7.79   mean: -8.27  epsilon: 0.7394  time: 14.74s
episode: 1400  return: -10.88   mean: -8.09  epsilon: 0.7281  time: 14.45s
episode: 1500  return: -10.39   mean: -8.20  epsilon: 0.7169  time: 14.70s
episode: 1600  return: -6.56   mean: -8.03  epsilon: 0.7058  time: 14.71s
episode: 1700  return: -9.84   mean: -7.92  epsilon: 0.6949  time: 14.45s
episode: 1800  return: -9.79   mean: -8.08  epsilon: 0.6841  time: 14.63s
episode: 1900  return: -7.87   mean: -8.08  epsilon: 0.6735  time: 15.11s
episode: 2000  return: -7.08   mean: -8.01  epsilon: 0.6629  time: 14.54s
episode: 2100  return: -8.39   mean: -7.83  epsilon: 0.6525  time: 14.64s
episode: 2200  return: -11.15   mean: -7.88  epsilon: 0.6423  time: 14.02s
episode: 2300  return: -6.78   mean: -7.61  epsilon: 0.6322  time: 14.24s
episode: 2400  return: -7.80   mean: -7.86  epsilon: 0.6222  time: 14.30s
episode: 2500  return: -5.93   mean: -7.52  epsilon: 0.6123  time: 14.80s
episode: 2600  return: -6.49   mean: -7.54  epsilon: 0.6025  time: 14.53s
episode: 2700  return: -9.20   mean: -7.82  epsilon: 0.5929  time: 14.71s
episode: 2800  return: -8.07   mean: -7.99  epsilon: 0.5834  time: 14.53s
episode: 2900  return: -5.13   mean: -7.57  epsilon: 0.5740  time: 14.37s
